date,ticker,sym_root,sym_suffix,n_quotes,quoted_spread_bps_mean,quoted_spread_bps_median,mid_price_mean
2026-08-12,EXC,EXC,,94968,2.6804,2.2235,45.0
2026-08-12,F,F,,82494,7.2203,7.2176,13.8616
2026-08-12,FCX,FCX,,367266,2.6559,2.8873,69.1134
2026-08-12,FDX,FDX,,15034,8.823,7.4386,324.663
2026-08-12,FSLR,FSLR,,31429,16.74,15.97,228.4672
2026-08-12,FTNT,FTNT,,33803,9.7436,8.1085,162.6563
2026-08-12,GD,GD,,11443,9.4938,8.6721,392.6479
2026-08-12,GE,GE,,26122,7.5917,6.8579,366.0369
2026-08-12,GEHC,GEHC,,34635,4.1314,4.1331,72.2382
2026-08-12,GILD,GILD,,37919,3.8346,2.9433,136.3027
2026-08-12,GIS,GIS,,131008,3.3703,2.6361,37.8573
2026-08-12,GM,GM,,30840,4.7839,4.5501,87.3634
2026-08-12,GOOGL,GOOG,L,345384,1.2172,1.1658,342.712
2026-08-12,GS,GS,,42758,6.8029,6.0395,1042.3308
2026-08-12,HAL,HAL,,98497,3.4105,2.9828,33.5249
2026-08-12,HCA,HCA,,28271,9.5438,8.4622,412.1496
2026-08-12,HD,HD,,45111,4.8761,4.074,345.2711
2026-08-12,HON,HON,,20847,10.1992,8.5404,232.7608
2026-08-12,ICE,ICE,,16869,7.4602,5.9435,151.2457
2026-08-12,INTC,INTC,,1241398,1.5378,0.9931,101.4505
2026-08-12,INTU,INTU,,28278,7.6168,6.9445,331.4314
2026-08-12,ISRG,ISRG,,47607,4.5762,3.5073,400.5209
2026-08-12,IWM,IWM,,1389921,0.4524,0.3314,302.0569
2026-08-12,JNJ,JNJ,,34591,4.6876,4.2174,260.0778
2026-08-12,JPM,JPM,,51802,2.6766,2.4604,364.941
2026-08-12,KHC,KHC,,100792,4.1556,4.0992,24.3623
2026-08-12,KMI,KMI,,93774,3.2188,3.1531,31.6951
2026-08-12,KO,KO,,215434,1.6849,1.158,86.712
2026-08-12,KR,KR,,79155,2.6591,1.7859,56.0501
2026-08-12,LIN,LIN,,29414,4.4463,3.7449,483.2587
2026-08-12,LLY,LLY,,19019,9.0567,7.961,1216.619
2026-08-12,LMT,LMT,,14379,8.8062,8.0757,602.2274
2026-08-12,LOW,LOW,,17162,11.5209,9.7759,216.3469
2026-08-12,LULU,LULU,,20167,9.4475,8.1156,121.9108
2026-08-12,MA,MA,,41454,5.2378,4.6488,558.2579
2026-08-12,MCD,MCD,,58420,4.0821,3.6378,274.3291
2026-08-12,MDLZ,MDLZ,,151658,2.2781,1.6251,61.7098
2026-08-12,MDT,MDT,,141249,3.2667,2.2264,89.9834
2026-08-12,META,META,,137161,2.8139,2.417,583.6151
2026-08-12,MLM,MLM,,8452,18.4982,16.618,544.2413
2026-08-12,MNST,MNST,,48414,3.8556,4.3687,45.5958
2026-08-12,MO,MO,,133784,2.3627,1.5474,64.8174
2026-08-12,MPC,MPC,,24892,11.2554,10.2166,341.9379
2026-08-12,MRK,MRK,,44102,3.3061,2.9942,132.9232
2026-08-12,MS,MS,,28880,6.5454,5.5061,218.4449
2026-08-12,MSFT,MSFT,,195736,1.878,1.6227,493.7791
2026-08-12,MU,MU,,383944,3.6294,3.3148,924.0374
2026-08-12,NEE,NEE,,228692,1.8473,1.1712,85.6715
2026-08-12,NEM,NEM,,122207,4.2736,4.1881,118.8991
2026-08-12,NFLX,NFLX,,264041,1.7471,1.3547,73.9172
2026-08-12,NKE,NKE,,151251,2.5089,2.4579,40.6806
